"quote";"author";"context";"source";"date"
"clock speed";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #2:

solar flares";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #3:

electromagnetic radiation from satellite debris";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #4:

static from nylon underwear";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #5:

static from plastic slide rules";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #6:

global warming";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #7:

poor power conditioning";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #8:

static buildup";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #9:

doppler effect";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #10:

hardware stress fractures";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #11:

magnetic interference from money/credit cards";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #12:

dry joints on cable plug";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #13:

we're waiting for [the phone company] to fix that line";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #14:

sounds like a Windows problem, try calling Microsoft support";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #15:

temporary routing anomaly";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #16:

somebody was calculating pi on the server";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #17:

fat electrons in the lines";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #18:

excess surge protection";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #19:

floating point processor overflow";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #20:

divide-by-zero error";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #21:

POSIX compliance problem";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #22:

monitor resolution too high";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #23:

improperly oriented keyboard";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #24:

network packets travelling uphill (use a carrier pigeon)";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #25:

Decreasing electron flux";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #26:

first Saturday after first full moon in Winter";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #27:

radiosity depletion";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #28:

CPU radiator broken";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #29:

It works the way the Wang did, what's the problem";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #30:

positron router malfunction";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #31:

cellular telephone interference";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #32:

techtonic stress";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #33:

piezo-electric interference";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #34:

(l)user error";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #35:

working as designed";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #36:

dynamic software linking table corrupted";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #37:

heavy gravity fluctuation, move computer to floor rapidly";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #38:

secretary plugged hairdryer into UPS";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #39:

terrorist activities";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #40:

not enough memory, go get system upgrade";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #41:

interrupt configuration error";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #42:

spaghetti cable cause packet failure";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #43:

boss forgot system password";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #44:

bank holiday - system operating credits  not recharged";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #45:

virus attack, luser responsible";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #46:

waste water tank overflowed onto computer";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #47:

Complete Transient Lockout";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #48:

bad ether in the cables";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #49:

Bogon emissions";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #50:

Change in Earth's rotational speed";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #51:

Cosmic ray particles crashed through the hard disk platter";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #52:

Smell from unhygienic janitorial staff wrecked the tape heads";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #53:

Little hamster in running wheel had coronary; waiting for replacement to be Fedexed from Wyoming";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
"BOFH excuse #54:

Evil dogs hypnotised the night shift";"Unknown (/usr/share/games/fortunes/bofh-excuses)";NA;"bofh-excuses.dat (fortunes-bofh-excuses)";NA
