"quote";"author";"context";"source";"date"
"	A friend will refrain from telling you he picked up the same amount of
	life insurance coverage you did for half the price when yours is
	noncancellable.";"Esquire, May 1977";NA;"definitions.dat (fortunes)";NA
"186,282 miles per second:
	It isn't just a good idea, it's the law!";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"18th Rule of Friendship:
        A friend will let you hold the ladder while he goes up on the roof
        to install your new aerial, which is the biggest son-of-a-bitch you
        ever saw.";"Esquire, May 1977";NA;"definitions.dat (fortunes)";NA
"2180, U.S. History question:
	What 20th Century U.S. President was almost impeached and what
	office did he later hold?";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"3rd Law of Computing:
	Anything that can go wr
fortune: Segmentation violation -- Core dumped";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"667:
	The neighbor of the beast.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"A hypothetical paradox:
	What would happen in a battle between an Enterprise security team,
	who always get killed soon after appearing, and a squad of Imperial
	Stormtroopers, who can't hit the broad side of a planet?";"Tom Galloway";NA;"definitions.dat (fortunes)";NA
"A Law of Computer Programming:
	Make it possible for programmers to write in English
	and you will find that programmers cannot write in English.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"A musician, an artist, an architect:
	the man or woman who is not one of these is not a Christian.";"William Blake";NA;"definitions.dat (fortunes)";NA
"A new koan:
	If you have some ice cream, I will give it to you.
	If you have no ice cream, I will take it away from you.
It is an ice cream koan.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Abbott's Admonitions:
	(1) If you have to ask, you're not entitled to know.
	(2) If you don't like the answer, you shouldn't have asked the question.";"Charles Abbot, dean, University of Virginia";NA;"definitions.dat (fortunes)";NA
"Absent, adj.:
	Exposed to the attacks of friends and acquaintances; defamed; slandered.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Absentee, n.:
	A person with an income who has had the forethought to remove
	himself from the sphere of exaction.";"Ambrose Bierce, \"The Devil's Dictionary\"";NA;"definitions.dat (fortunes)";NA
"Abstainer, n.:
	A weak person who yields to the temptation of denying himself a
	pleasure.";"Ambrose Bierce, \"The Devil's Dictionary\"";NA;"definitions.dat (fortunes)";NA
"Absurdity, n.:
	A statement or belief manifestly inconsistent with one's own opinion.";"Ambrose Bierce, \"The Devil's Dictionary\"";NA;"definitions.dat (fortunes)";NA
"Academy:
	A modern school where football is taught.
Institute:
	An archaic school where football is not taught.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Acceptance testing:
	An unsuccessful attempt to find bugs.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Accident, n.:
	A condition in which presence of mind is good, but absence of
	body is better.";"Foolish Dictionary";NA;"definitions.dat (fortunes)";NA
"Accordion, n.:
	A bagpipe with pleats.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Accuracy, n.:
	The vice of being right";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
"Acquaintance, n:
	A person whom we know well enough to borrow from but not well
	enough to lend to.  A degree of friendship called slight when the
	object is poor or obscure, and intimate when he is rich or famous.";"Ambrose Bierce, \"The Devil's Dictionary\"";NA;"definitions.dat (fortunes)";NA
"ADA:
	Something you need only know the name of to be an Expert in
	Computing.  Useful in sentences like, \"We had better develop
	an ADA awareness.";"\"Datamation\", January 15, 1984";NA;"definitions.dat (fortunes)";NA
"Adler's Distinction:
	Language is all that separates us from the lower animals,
	and from the bureaucrats.";"Unknown (/usr/share/games/fortunes/definitions)";NA;"definitions.dat (fortunes)";NA
