"quote";"author";"context";"source";"date"
NA;"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"If you suspect that this message may have been intercepted or amended,
please call the sender.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"30 day money back guarantee minus shipping, 10% restocking charge, and 7%
cancellation charge.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"98% lean.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"All rights reserved.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"All celebrity voices impersonated.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"All international orders must be accompanied by payment in U. S. funds.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"All models over 18 years of age.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"All names listed are proprietary trademarks of their respective corporations.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Allow 6 to 8 weeks for delivery.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Always wear your seat belt.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Any reproduction or redistribution of the Software not in accordance with the
License Agreement is expressly prohibited by law, and may result in severe
civil and criminal penalties.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Any resemblance to real persons, living or dead, is purely coincidental.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Apply only to affected area.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Approved for veterans.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"As seen on TV.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"At participating locations only.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Available while quantities last.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Availability is limited.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Avoid contact with eyes.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
"Avoid contact with skin.";"Unknown (/usr/share/games/fortunes/disclaimer)";NA;"disclaimer.dat (fortunes)";NA
