"quote";"author";"context";"source";"date"
"1/2 oz. vodka
1/2 oz. rum (preferably dark)
3/4 oz. tequilla
1/2 oz. triple sec
1/2 oz. orange juice
3/4 oz. sour mix
1/2 oz. cola
shake with ice and strain into frosted glass.
		Long Island Iced Tea";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"6 oz. orange juice
1 oz. vodka
1/2 oz. Galliano
		Harvey Wallbangers";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"A beer delayed is a beer denied.";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"A couple more shots of whiskey, women 'round here start looking good.

		[something about a 10 being a 4 after a six-pack?  Ed.]";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"A guy walks into a bar, orders a beer, carries it to the bathroom and dumps it
into a urinal.  Over the course of the next few hours, he goes back to the bar
and repeats this sequence -- several times.  Finally the bartender got so
curious that he leaned over the bar and asked him what he was doing.

Replied the customer, \"Avoiding the middleman.\"";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"A prohibitionist is the sort of man one wouldn't care to drink with
-- even if he drank.";"H. L. Mencken";NA;"drugs.dat (fortunes)";NA
"Absinthe makes the tart grow fonder.";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"Alcohol is the anesthesia by which we endure the operation of life.";"George Bernard Shaw";NA;"drugs.dat (fortunes)";NA
"Alcohol, hashish, prussic acid, strychnine are weak dilutions. The surest
poison is time.";"Emerson, \"Society and Solitude\"";NA;"drugs.dat (fortunes)";NA
"Alcoholics Anonymous is when you get to drink under someone else's name.";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
"Always store beer in a dark place.";"Lazarus Long";NA;"drugs.dat (fortunes)";NA
"An alcoholic is someone you don't like who drinks as much as you do.";"Dylan Thomas";NA;"drugs.dat (fortunes)";NA
"And you can't get any Watney's Red Barrel,
because the bars close every time you're thirsty...";"Unknown (/usr/share/games/fortunes/drugs)";NA;"drugs.dat (fortunes)";NA
