"quote";"author";"context";"source";"date"
"best.  That's dangerous.  Is the work of some mere individual mind likely to
serve the aims of collectively accepted compromises, which are known in the
schools as 'standards'?  Any mind that would audaciously put itself forth to
work all alone is surely a bad example for the students, and probably, if
not downright antisocial, at least a little off-center, self-indulgent,
elitist.  ... It's just good pedagogy, therefore, to stay away from such
stuff, and use instead, if film-strips and rap-sessions must be
supplemented, 'texts,' selected, or prepared, or adapted, by real
professionals.  Those texts are called 'reading material.'  They are the
academic equivalent of the 'listening material' that fills waiting-rooms,
and the 'eating material' that you can buy in thousands of convenient eating
resource centers along the roads.";"The Underground Grammarian";NA;"education.dat (fortunes)";NA
"A definition of teaching: casting fake pearls before real swine.";"Bill Cain, \"Stand Up Tragedy\"";NA;"education.dat (fortunes)";NA
"A fool's brain digests philosophy into folly, science into superstition, and
art into pedantry.  Hence University education.";"G. B. Shaw";NA;"education.dat (fortunes)";NA
"A good question is never answered.  It is not a bolt to be tightened
into place but a seed to be planted and to bear more seed toward the
hope of greening the landscape of idea.";"John Ciardi";NA;"education.dat (fortunes)";NA
"A grammarian's life is always in tense.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A great many people think they are thinking when they are merely
rearranging their prejudices.";"William James";NA;"education.dat (fortunes)";NA
"A mother mouse was taking her large brood for a stroll across the kitchen
floor one day when the local cat, by a feat of stealth unusual even for
its species, managed to trap them in a corner.  The children cowered,
terrified by this fearsome beast, plaintively crying, \"Help, Mother!
Save us!  Save us!  We're scared, Mother!\"
	Mother Mouse, with the hopeless valor of a parent protecting its
children, turned with her teeth bared to the cat, towering huge above them,
and suddenly began to bark in a fashion that would have done any Doberman
proud.  The startled cat fled in fear for its life.
	As her grateful offspring flocked around her shouting \"Oh, Mother,
you saved us!\" and \"Yay!  You scared the cat away!\" she turned to them
purposefully and declared, \"You see how useful it is to know a second
language?\"";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A Parable of Modern Research:

	Bob has lost his keys in a room which is dark except for one
brightly lit corner.
	\"Why are you looking under the light, you lost them in the dark!\"
	\"I can only see here.\"";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A pencil with no point needs no eraser.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"	 A Plan for the Improvement of English Spelling
			  by Mark Twain

	For example, in Year 1 that useless letter \"c\" would be dropped
to be replased either by \"k\" or \"s\", and likewise \"x\" would no longer
be part of the alphabet.  The only kase in which \"c\" would be retained
would be the \"ch\" formation, which will be dealt with later.  Year 2
might reform \"w\" spelling, so that \"which\" and \"one\" would take the
same konsonant, wile Year 3 might well abolish \"y\" replasing it with
\"i\" and Iear 4 might fiks the \"g/j\" anomali wonse and for all.
	Jenerally, then, the improvement would kontinue iear bai iear
with Iear 5 doing awai with useless double konsonants, and Iears 6-12
or so modifaiing vowlz and the rimeining voist and unvoist konsonants.
Bai Iear 15 or sou, it wud fainali bi posibl tu meik ius ov thi
ridandant letez \"c\", \"y\" and \"x\" -- bai now jast a memori in the maindz
ov ould doderez -- tu riplais \"ch\", \"sh\", and \"th\" rispektivli.
	Fainali, xen, aafte sam 20 iers ov orxogrefkl riform, wi wud
hev a lojikl, kohirnt speling in ius xrewawt xe Ingliy-spiking werld.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A professor is one who talks in someone else's sleep.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"	A reader reports that when the patient died, the attending doctor
recorded the following on the patient's chart:  \"Patient failed to fulfill
his wellness potential.\"
	Another doctor reports that in a recent issue of the *American Journal
of Family Practice* fleas were called \"hematophagous arthropod vectors.\"
	A reader reports that the Army calls them \"vertically deployed anti-
personnel devices.\"  You probably call them bombs.
	At McClellan Air Force base in Sacramento, California, civilian
mechanics were placed on \"non-duty, non-pay status.\"  That is, they were fired.
	After taking the trip of a lifetime, our reader sent his twelve rolls
of film to Kodak for developing (or \"processing,\" as Kodak likes to call it)
only to receive the following notice:  \"We must report that during the handling
of your twelve 35mm Kodachrome slide orders, the films were involved in an
unusual laboratory experience.\"  The use of the passive is a particularly nice
touch, don't you think?  Nobody did anything to the films; they just had a bad
experience.  Of course our reader can always go back to Tibet and take his
pictures all over again, using the twelve replacement rolls Kodak so generously
sent him.";"Quarterly Review of Doublespeak (NCTE)";NA;"education.dat (fortunes)";NA
"A student who changes the course of history is probably taking an exam.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A synonym is a word you use when you can't spell the word you first
thought of.";"Burt Bacharach";NA;"education.dat (fortunes)";NA
"A tautology is a thing which is tautological.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"A university is what a college becomes when the faculty loses interest
in students.";"John Ciardi";NA;"education.dat (fortunes)";NA
"\"A University without students is like an ointment without a fly.\"";"Ed Nather, professor of astronomy at UT Austin";NA;"education.dat (fortunes)";NA
"About all some men accomplish in life is to send a son to Harvard.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"Abstract:
	This study examined the incidence of neckwear tightness among a group
of 94 white-collar working men and the effect of a tight business-shirt collar
and tie on the visual performance of 22 male subjects.  Of the white-collar
men measured, 67% were found to be wearing neckwear that was tighter than
their neck circumference.  The visual discrimination of the 22 subjects was
evaluated using a critical flicker frequency (CFF) test.  Results of the CFF
test indicated that tight neckwear significantly decreased the visual
performance of the subjects and that visual performance did not improve
immediately when tight neckwear was removed.";"Langan, L. M. and Watkins, S. M. \"Pressure of Menswear on the
		   Neck in Relation to Visual Performance.\"  Human Factors 29,
		   #1 (Feb. 1987), pp. 67-71.";NA;"education.dat (fortunes)";NA
"Academic politics is the most vicious and bitter form of politics,
because the stakes are so low.";"Wallace Sayre";NA;"education.dat (fortunes)";NA
"Academicians care, that's who.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"=============== ALL FRESHMEN PLEASE NOTE ===============

To minimize scheduling confusion, please realize that if you are taking one
course which is offered at only one time on a given day, and another which is
offered at all times on that day, the second class will be arranged as to
afford maximum inconvenience to the student.  For example, if you happen
to work on campus, you will have 1-2 hours between classes.  If you commute,
there will be a minimum of 6 hours between the two classes.";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
"An investment in knowledge always pays the best interest.";"Benjamin Franklin";NA;"education.dat (fortunes)";NA
"Any two philosophers can tell each other all they know in two hours.";"Oliver Wendell Holmes, Jr.";NA;"education.dat (fortunes)";NA
"As Gen. de Gaulle occassionally acknowledges America to be the daughter
of Europe, so I am pleased to come to Yale, the daughter of Harvard.";"J. F. Kennedy";NA;"education.dat (fortunes)";NA
"As long as the answer is right, who cares if the question is wrong?";"Unknown (/usr/share/games/fortunes/education)";NA;"education.dat (fortunes)";NA
