"quote";"author";"context";"source";"date"
NA;"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A few hours grace before the madness begins again.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A gift of a flower will soon be made to you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A long-forgotten loved one will appear soon.

Buy the negatives at any price.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A tall, dark stranger will have more fun than you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A visit to a fresh place will bring strange work.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A visit to a strange place will bring fresh work.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"A vivid and creative mind characterizes you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Abandon the search for Truth; settle for a good fantasy.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Accent on helpful side of your nature.  Drain the moat.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Advancement in position.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"After your lover has gone you will still have PEANUT BUTTER!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Afternoon very favorable for romance.  Try a single person for a change.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Alimony and bribes will engage a large share of your wealth.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"All the troubles you have will pass away very quickly.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Among the lucky, you are the chosen one.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"An avocado-tone refrigerator would look good on your resume.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"An exotic journey in downtown Newark is in your future.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Another good night not to sleep in a eucalyptus tree.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Are you a turtle?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Are you ever going to do the dishes?  Or will you change your major to biology?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Are you making all this up as you go along?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Are you sure the back door is locked?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Artistic ventures highlighted.  Rob a museum.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Avert misunderstanding by calm, poise, and balance.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Avoid gunfire in the bathroom tonight.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Avoid reality at all costs.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Bank error in your favor.  Collect $200.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be careful!  Is it classified?";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be careful!  UGLY strikes 9 out of 10!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be cautious in your daily affairs.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be cheerful while you are alive.";"Phathotep, 24th Century B.C.";NA;"fortunes.dat (fortunes-min)";NA
"Be different: conform.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be free and open and breezy!  Enjoy!  Things won't get any better so
get used to it.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Be security conscious -- National defense is at stake.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beauty and harmony are as necessary to you as the very breath of life.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Best of all is never to have been born.  Second best is to die soon.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Better hope the life-inspector doesn't come around while you have your
life in such a mess.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware of a dark-haired man with a loud tie.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware of a tall black man with one blond shoe.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware of a tall blond man with one black shoe.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware of Bigfoot!";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware of low-flying butterflies.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Beware the one behind you.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Blow it out your ear.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Break into jail and claim police brutality.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Bridge ahead.  Pay troll.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Caution: breathing may be hazardous to your health.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Caution: Keep out of reach of children.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Celebrate Hannibal Day this year.  Take an elephant to lunch.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
"Change your thoughts and you change your world.";"Unknown (/usr/share/games/fortunes/fortunes)";NA;"fortunes.dat (fortunes-min)";NA
