"quote";"author";"context";"source";"date"
"                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"astronomer <--> moon starer
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"circumstantial evidence <--> can ruin a selected victim
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"dormitory <--> dirty room
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"funeral <--> real fun
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"intoxicate <--> excitation
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"mother-in-law <--> woman Hitler
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"schoolmaster <--> the classroom
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"the Morse code <--> here come dots
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"the public art galleries <--> large picture hall, I bet
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"I bet Year Two Thousand <--> a year to shut down
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"President Clinton of the USA <--> to copulate he finds interns
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Princess Diana <--> end is a car spin
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Ronald Wilson Reagan <--> Insane Anglo Warlord
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Victoria, England's Queen <--> governs a nice quiet land
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"William Shakespeare <--> I am a weakish speller. 
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Dictionary <--> Indicatory
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Elvis <--> Lives
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Listen <--> Silent
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Clint Eastwood <--> Old West Action
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"A Telephone Girl <--> Repeating \"Hello\"
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Western Union <--> No Wire Unsent
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Country Side <--> No City Dust Here
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Evangelist <--> Evil's Agent
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The eyes <--> They see
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Cockroach <--> Cook, Catch Her
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Desperation <--> A Rope Ends It
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Conversation <--> Voices Rant On
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Mr. Mojo risin' <--> Jim Morrison
                -- anagrama, da música ``L.A. Woman'', The Doors";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Great New York Rapid Transit Tunnel <--> Giant Work in Street,
Partly Underneath
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Darling I love you <--> leaving your idol / Avoiding our yell
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"A Domesticated Animal <--> Docile, as a Man Tamed it
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Hilton <--> Hint: Hotel
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The United States Bureau of Fisheries <--> I Raise the Bass to Feed Us
in the Future
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Vacation Times <--> I'm Not as Active
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Silicon Graphics <--> A Long Chip Crisis
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Silicon Graphics <--> Can logic ship, sir?
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Silicon Graphics <-->  Gosh, sir, I can clip!
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Detectives <--> Detect Thieves
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"The Hospital Ambulance <--> A Cab, I Hustle to Help Man
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"A Gentleman <--> Elegant Man
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Presbyterian <--> Best In Prayer
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"A Decimal Point <--> I'm a Dot in Place
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Martin Scorsese <--> Screen is a storm
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Student Information Processing Board <--> Computation Transgression
Forbidden
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Statue of Liberty <--> Built to Stay Free
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Mel Gibson <--> Bong Smile
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Admirer <--> Married
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"New York Times <--> Monkeys Write / Monkey Writes
                -- anagrama, por Andrew Glines";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"David Letterman <--> Nerd Amid Late TV
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Howard Stern <--> Retard Shown
                -- anagrama";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Contradiction <--> Accord not in it
                -- anagrama, por E. Tyron";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Debit card <--> Bad Credit
                -- anagrama, por Mike Morton";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Just because some of us can read and write and do a little math, that
doesn't mean we deserve to conquer the universe. <--> A masquerade can
cover a sense of what is real to deceive us; to be unjaded and not
lost, we must, then, determine truth.
                -- frase original de Vonnegut, anagrama por Cory
                   Calhoun";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"There is only one thing worse than being talked about and that is not
being talked about. <--> Wilde died broken, beaten 'n' total nut. Hate
being sunk in that rotten gaol. Shh, gay is taboo. 
                -- frase original de Oscar Wilde, anagrama por Larry
                   Brash ";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"To be or not to be: that is the question, whether tis nobler in the
mind to suffer the slings and arrows of outrageous fortune. <--> In
one of the Bard's best-thought-of tragedies, our insistent hero,
Hamlet, queries on two fronts about how life turns rotten.
                -- frase original de Shakespeare em ``Hamlet'',
                   anagrama por Cory Calhoun";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"Vladimir Nabokov <--> Vivian Darkbloom
                -- anagrama (Vivian Darkbloom is a character in
                   Nabokov's Lolita)";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
"October Sky <--> Rocket Boys
                -- anagrama (The 1999 movie October Sky is based on
                   Rocket Boys, a memoir by Homer ``Sonny'' Hickam) ";"Unknown (/usr/share/games/fortunes/mario.anagramas)";NA;NA;NA
