"quote";"author";"context";"source";"date"
NA;"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais atrasado que tartaruga em desfile de lebre.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais frouxo que peido em bombacha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais afiada que navalha de barbeiro caprichoso.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais perdido que cusco em procissão.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Alegre como lambari de sanga.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Alegre que nem paisano a meia-guampa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais amontoado que uva em cacho.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais assanhada que solteirona em festa de casamento.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais assanhada que lambari de sanga.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais afiada que língua de sogra.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais atirado que alpargata em cancha de bocha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais atrapalhado que cego em tiroteio.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais baixo que vôo de marreca choca.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais baixo que umbigo de cobra.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais baixo que barriga de sapo.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Babava como boi com aftosa.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Bonita que nem laranja de amostra.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"De boca aberta que nem burro que comeu urtiga.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Buliçoso como mico de viúva.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais caro que argentina nova na zona.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cara mais amarrada que pacote de despacho.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cheio como corvo em carniça de vaca atolada.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cheio como penico em dia de baile.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cheio como barril de chopp em festa de crente.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cheio como bolsa de china.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cheirando bem como cogote de noiva.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Cobiçada como anca de viúva, nova e bonita.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais conhecido que parteira de campanha.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais constrangido que padre em puteiro.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que putiada de gago.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que trova de gago.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que esperança de pobre.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que suspiro em velório.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais comprido que cuspe de bêbado.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Contrariado como gato a cabresto.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Coxuda como leitoa no engorde.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais curto que coice de porco.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais curto que estribo de anão.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Desconfiado como cego que tem amante.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Devagarzito como enterro de viúva rica.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais difícil que nadar de poncho e dormir de espora sem rasgar
lençol.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Dinheiro na mão de pobre é como cuspe em ferro quente.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Doído como guasqueaço em testa de negro em comércio de carreira.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Dorme atirado que nem lagarto.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
"Mais duro que salame da colônia.";"Unknown (/usr/share/games/fortunes/mario.gauchismos)";NA;NA;NA
