"quote";"author";"context";"source";"date"
"perdi duas semanas. 
                -- Joe E. Lewis";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Deus, para a felicidade do homem, inventou a fé e o amor. O Diabo,
invejoso, fez o homem confundir fé com religião e amor com casamento.
                -- Machado de Assis";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Nunca tive problemas com droga. Só com a polícia...
                -- Keith Richards, guitarrista da banda Rolling Stones";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Democracia é quando eu mando em você, ditadura é quando você manda em mim.
                -- Millôr Fernandes";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Não é que eu tenha medo de morrer. É que eu não quero estar lá na hora que
isso acontecer.
                -- Woody Allen";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Errar é humano. Culpar outra pessoa é política.
                -- Hubert H. Humpherey";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Há tantas coisas na vida mais importantes que o dinheiro! Mas, custam
tanto!
                -- Groucho Marx";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"O difícil, vocês sabem, não é fácil...
                -- Vicente Matheus (Eterno presidente do Corinthians)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Clássico é clássico e vice-versa...
                -- Jardel (Ex-atacante do Grêmio e Seleção Brasileira)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Tenho o maior orgulho de jogar na terra onde Cristo nasceu...
                -- Claudiomiro (Ex-meia do Internacional-RS ao chegar
                   em Belém do Pará para disputar uma partida contra o
                   Paysandu pelo Brasileirão de 72) ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se meus inimigos pararem de dizer mentiras a meu respeito, eu paro de
dizer verdades a respeito deles.
                -- Adlai Stevenson";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se tivesse acreditado na minha brincadeira de dizer verdades teria ouvido
verdades que teimo em dizer brincando. Falei como um palhaço mas jamais
duvidei da sinceridade da platéia que sorria.
                -- Charles Chaplin        ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Morava tão longe, que o carteiro mandava suas cartas pelo correio.
                -- Jô Soares";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Pessimista: alguém que se queixa do barulho quando a sorte lhe bate à
porta.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Os grandes espíritos sempre encontraram uma oposição violenta das mentes
medíocres.
                -- Albert Einstein";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Eles riram de Albert Einstein. Eles riram dos irmãos Wright. Mas eles
também riram do palhaço Bozo.
                -- Carl Sagan";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Uma palavra resume a responsabilidade de qualquer vice-presidente. E essa
palavra é: `estar preparado'.
                -- Dan Quayle, ex vice-presidente dos EUA.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Fumar mata. E se você morre, você perde uma parte muito importante da sua
vida.
                -- Brook Shields";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Quando o jogo esta a mil, minha naftalina sobe.
                -- Jardel ( ex-atacante do Grêmio)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Não sei, chutei, a bola foi indo, indo.... e iu!
                -- Nunes, ex-atacante do Flamengo ao descrever um
                   gol. ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Tanto na minha vida futebolística quanto com a minha vida ser
 humana...
                -- Nunes, ex-atacante do Flamengo, em uma entrevista
                   antes do jogo de despedida do Zico";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Eu disconcordo com o que você disse.
                -- Vladimir, ex-meia do Corinthians em uma entrevista
                   à Rádio Record";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Nem que eu tivesse dois pulmões eu alcançava essa bola.
                -- Bradock, amigo de Romário reclamando de um passe
                   longo ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Realmente minha cidade e muito facultativa.
                -- Elivelton, ao repórter da Jovem Pan que falava das
                   muitas faculdades que existiam em sua cidade natal.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"A partir de agora meu coração tem uma cor só: rubro negro.
                -- Fabião, zagueiro baiano ao chegar para o Flamengo";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Não foi nada de especial, chutei com o pé que estava mais à mão!
                -- João Pinto, jogador do Futebol Clube do Porto, de
                   Portugal ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"O meu clube estava a beira do precipício, mas tomou a decisão 
correta: deu um passo a frente.
                -- João Pinto, jogador do Futebol Clube do Porto, de
                   Portugal ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Ao verme que primeiro roeu as frias carnes do meu cadáver, dedico como
saudosa lembrança estas  memórias póstumas. 
                -- Machado de Assis (Memórias póstumas de Brás Cubas)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Não tive filhos, não transmiti a nenhum ser o legado de nossa miséria. 
                -- Machado de Assis (Memórias Póstumas de Brás Cubas)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Tão certo é que a paisagem depende do ponto de vista, e que o melhor modo
de apreciar o chicote é ter-lhe o cabo na mão.
                -- Machado de Assis (Quincas Borba)";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Quando falares, cuida para que tuas palavras sejam melhores que o
silêncio. 
                -- Provérbio Indiano";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Os EUA é muito bom, mas é uma merda. O Brasil é uma merda, mas é muito
bom.
                -- Tom Jobim";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Escoteiro: Um menino vestido de estúpido comandado por um estúpido
vestido de menino.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Programador: É o que te resolve um problema que você não sabia que tinha
de uma maneira que você não compreende.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Diplomata: É quem lhe diz ``vá à merda'' de um modo tal que você fica
ansioso para começar a viagem.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Arquiteto: Diz-se de um cara que não foi suficientemente ``macho'' para ser
engenheiro, nem suficientemente bicha para ser decorador.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Dançar: É a frustração vertical de um desejo horizontal.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"É impossível fazer qualquer coisa a prova de erros - os idiotas são muito
inventivos";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Lei do Óbvio Ululante
        --- Se uma corda tem uma ponta, procure que tem outra.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Lei do Baiano
        --- Não há melhor momento do que hoje pra adiar pra amanhã, o
que você não vai fazer nunca.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se várias coisas que deviam ter dado errado deram certo, é porque deu tudo
errado.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Devo, não pago. Nego enquanto puder. ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Os três aspectos fundamentais da vida humana são dois: sexo.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Mulher de amiga minha pra mim é homem. ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se você dá para engenharia, pode ser um bom engenheiro. Mas se você dá
para diretor de novela, nada te garante um emprego de atriz. ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"O Batman pegou seu bat-sapato social e seu bat-blazer. Onde ele foi?
A um Bat-zado";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"O Flamengo e o Bangu terminaram o jogo em 0 x 0. Quem fez o gol?
A Volkswagen";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Por que o Drácula usa suspensórios vermelhos?
Para segurar as calças.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Por que a mulher do Hulk o largou?
Porque ela queria um homem mais maduro...";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Existem dois tipos de mulheres: as que me amam, e as que não me conhecem";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Um falso amigo é um inimigo secreto.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se casamento fosse bom não precisaria de testemunhas.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se não fosse o otimista, o pessimista nunca saberia como é infeliz.";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Aqui jaz a minha sogra. Descanso em paz!";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Existem dois tipos de mulher: as que dão e as que voam. Você já viu alguma
mulher voando? ";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Porque SEPARADO se escreve tudo junto e TUDO JUNTO separado?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Porque não há comida para gato com sabor de rato?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Porque não fabricam os aviões com o mesmo material das caixas pretas?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Por que todo bandido quando é frio tem que ser calculista?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Por que pijama tem bolso?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Por que em novelas da Globo, sempre que alguém tenta telefonar, nunca dá
ocupado e sempre quem atende é a pessoa com quem se deseja falar ?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Como pode o Pato Donald ter sobrinhos se não tem irmãos?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
"Se o Pato Donald não usa calças, por que ele usa uma toalha enrolada na
cintura quando sai do banho?";"Unknown (/usr/share/games/fortunes/mario.geral)";NA;NA;NA
