"quote";"author";"context";"source";"date"
"                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a plan, a canal: Panama
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Stressed? No tips? Spit on desserts.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Roma me tem amor.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a plan, a canoe, pasta, heros, rajahs, a coloratura,
maps, snipe, percale, macaroni, a gag, a banana bag, a
tan, a tag, a banana bag again (or a camel), a crepe,
pins, Spam, a rut, a Rolo, cash, a jar, sore hats, a
peon, a canal -- Panama.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a plan, a cat, a canal -- Panama!
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Socorram-me, subi no onibus em Marrocos.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Luza Rocelina, a namorada do Manuel, leu na \"Moda da Romana\": \"Anil
cor azul\".
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A babá baba.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A Santa dog lived as a devil god at NASA.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A Santa lived as a devil at NASA.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a pain, a mania -- Panama.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a plan, a butt tub -- anal Panama!
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"A man, a plan, a cat, a canal -- Panama!
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Age, irony, Noriega.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Ah, Satan sees Natasha.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Dogma: I am God.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"Go, dog!
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"God damn! Mad dog.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
"God lived as a devil dog.
                -- palíndromo";"Unknown (/usr/share/games/fortunes/mario.palindromos)";NA;NA;NA
