"quote";"author";"context";"source";"date"
"  A little pain never hurt anyone.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  \"A unified, neutral Germany? Given that nation's heritage, such a
  phrase may prove to be the oxymoron of the decade.\" -Kevin M.
  Matarese, Fulda, West Germany; as seen in \"Letters\", Time
  magazine, p. 5, March 5, 1990.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  A verbal contract isn't worth the paper it's written on. Include
  me out. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Christ was born in 4 B.C.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Cum tacent, clamant. When they are silent, they shout. -Cicero";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Gentlemen, I want you to know that I am not always right, but I am
  never wrong. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Goes (Went) over like a lead balloon.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Honk if you are against noise pollution!";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I'll give you a definite maybe. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I'm not going to say, \"I told you so.\"";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I am a deeply superficial person. -Andy Warhol";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I'm proud of my humility.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I can resist everything except temptation. -Oscar Wilde";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  If Roosevelt were alive, he'd turn over in his grave. -Samuel
  Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  If I could drop dead right now, I'd be the happiest man alive!";"Samuel Goldwyn";NA;"paradoxum.dat (fortunes)";NA
"  If you fall and break your legs, don't come running to me. -Samuel
  Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  I never put on a pair of shoes until I've worn them five years.";"Samuel Goldwyn";NA;"paradoxum.dat (fortunes)";NA
"  It isn't an optical illusion. It just looks like one.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  It's more than magnificent-it's mediocre. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  May I ask a question?";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  No one goes to that restaurant anymore-it's always too crowded.
  (attributed to Yogi Berra)";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Our comedies are not to be laughed at. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Parting is such sweet sorrow. -William Shakespeare";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Procrastination means never having to say you're sorry.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  \"Professional certification for car people may sound like an
  oxymoron.\" -The Wall Street Journal, page B1, Tuesday, July 17,
  1990.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Referring to a book: I read part of it all the way through.";"Samuel Goldwyn";NA;"paradoxum.dat (fortunes)";NA
"  Smoking is the leading cause of statistics.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Some bachelors want a meaningful overnight relationship.";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  Talking about a piece of movie dialogue: Let's have some new
  cliches. -Samuel Goldwyn";"Unknown (/usr/share/games/fortunes/paradoxum)";NA;"paradoxum.dat (fortunes)";NA
"  The scene is dull. Tell him to put more life into his dying.";"Samuel Goldwyn";NA;"paradoxum.dat (fortunes)";NA
