"quote";"author";"context";"source";"date"
"		-- Ogden Nash";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"	A little dog goes into a saloon in the Wild West, and beckons to
the bartender.  \"Hey, bartender, gimme a whiskey.\"
	The bartender ignores him.
	\"Hey bartender, gimme a whiskey!\"
	Still ignored.
	\"HEY BARMAN!!  GIMME A WHISKEY!!\"
	The bartender takes out his six-shooter and shoots the dog in the
leg, and the dog runs out the saloon, howling in pain.
	Three years later, the wee dog appears again, wearing boots,
jeans, chaps, a Stetson, gun belt, and guns.  He ambles slowly into the
saloon, goes up to the bar, leans over it, and says to the bartender,
\"I'm here t'git the man that shot muh paw.\"";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"About the only thing on a farm that has an easy time is the dog.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"All intelligent species own cats.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Any Member introducing or causing to be introduced a dog into the Society's
premises shall be liable to a fine of Â£5 inflicted by the Treasurer. Any animal
leading a blind person shall be deemed to be a cat. Any animal entering on
Police business shall be deemed to be a wombat.";"Rule 51, Oxford Union Society";NA;"pets.dat (fortunes)";NA
"Anyone who considers protocol unimportant has never dealt with a cat.";"R. Heinlein";NA;"pets.dat (fortunes)";NA
"	\"Anything else you wish to draw to my attention, Mr. Holmes ?\"
	\"The curious incident of the stable dog in the nighttime.\"
	\"But the dog did nothing in the nighttime.\"
	\"That was the curious incident.\"";"A. Conan Doyle, \"Silver Blaze\"";NA;"pets.dat (fortunes)";NA
"Auribus teneo lupum.
	[I hold a wolf by the ears.]
	[Boy, it *sounds* good.  But what does it *mean*?]";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Breeding rabbits is a hare raising experience.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Cats are intended to teach us that not everything in nature has a function.";"Garrison Keillor";NA;"pets.dat (fortunes)";NA
"Cats are smarter than dogs.  You can't make eight cats pull a sled through
the snow.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Cats, no less liquid than their shadows, offer no angles to the wind.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Chihuahuas drive me crazy.  I can't stand anything that shivers when it's warm.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"\"Contrary to popular belief, penguins are not the salvation of modern
technology.  Neither do they throw parties for the urban proletariat.\"";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Did you ever walk into a room and forget why you walked in?  I think
that's how dogs spend their lives.";"Sue Murphy";NA;"pets.dat (fortunes)";NA
"Does the name Pavlov ring a bell?";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Dogs just don't seem to be able to tell the difference between important people
and the rest of us.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Everyone *knows* cats are on a higher level of existence.  These silly humans
are just to big-headed to admit their inferiority.
	Just think what a nicer world this would be if it were controlled by
cats.
	You wouldn't see cats having waste disposal problems.
	They're neat.
	They don't have sexual hangups.  A cat gets horny, it does something
about it.
	They keep reasonable hours.  You *never* see a cat up before noon.
	They know how to relax.  Ever heard of a cat with an ulcer?
	What are the chances of a cat starting a nuclear war?  Pretty neglible.
It's not that they can't, they just know that there are much better things to
do with ones time.  Like lie in the sun and sleep.  Or go exploring the world.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"For a man to truly understand rejection, he must first be ignored by a cat.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"Hi!  You have reached 555-0129. None of us are here to answer the phone and
the cat doesn't have opposing thumbs, so his messages are illegible.  Please
leave your name and message after the beep...";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"I loathe people who keep dogs.  They are cowards who haven't got the guts
to bite people themselves.";"August Strindberg";NA;"pets.dat (fortunes)";NA
"I love dogs, but I hate Chihuahuas.  A Chihuahua isn't a dog.  It's a rat
with a thyroid problem.";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
"If a can of Alpo costs 38 cents, would it cost $2.50 in Dog Dollars?";"Unknown (/usr/share/games/fortunes/pets)";NA;"pets.dat (fortunes)";NA
