"quote";"author";"context";"source";"date"
"(2) Nothing is always.
(3) Everything is sometimes.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"42";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A beginning is the time for taking the most delicate care that balances are
correct.";"Princess Irulan, \"Manual of Maud'Dib\"";NA;"platitudes.dat (fortunes)";NA
"A bird in the bush usually has a friend in there with him.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A bird in the hand is worth two in the bush.";"Cervantes";NA;"platitudes.dat (fortunes)";NA
"A bird in the hand is worth what it will bring.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A bird in the hand makes it awfully hard to blow your nose.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"	A boy spent years collecting postage stamps.  The girl next door bought
an album too, and started her own collection.  \"Dad, she buys everything I've
bought, and it's taken all the fun out of it for me.  I'm quitting.\"  Don't,
son, remember, 'Imitation is the sincerest form of philately.'\"";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A certain amount of opposition is a help, not a hindrance. Kites rise
against the wind, not with it.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A chicken is an egg's way of producing more eggs.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A chronic disposition to inquiry deprives domestic felines of vital qualities.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A clever prophet makes sure of the event first.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A closed mouth gathers no foot.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A couch is as good as a chair.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A day without orange juice is like a day without orange juice.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A day without sunshine is like a day without Anita Bryant.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A day without sunshine is like a day without orange juice.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A day without sunshine is like night.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A dead man cannot bite.";"Gnaeus Pompeius (Pompey)";NA;"platitudes.dat (fortunes)";NA
"A farmer is a man outstanding in his field.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"	A farmer with extremely prolific hens posted the following sign.  \"Free
Chickens.  Our Coop Runneth Over.\"";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"	A father gave his teen-age daughter an untrained pedigreed pup for
her birthday.  An hour later, when wandering through the house, he found her
looking at a puddle in the center of the kitchen.  \"My pup,\" she murmured
sadly, \"runneth over.\"";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A fool and his money are soon popular.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A fool and your money are soon partners.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A fool must now and then be right by chance.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A foolish consistency is the hobgoblin of little minds.";"Ralph Waldo Emerson";NA;"platitudes.dat (fortunes)";NA
"A friend in need is a pest indeed.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A full belly makes a dull brain.";"Ben Franklin

		[and the local candy machine man.  Ed]";NA;"platitudes.dat (fortunes)";NA
"	A girl spent a couple hours on the phone talking to her two best
friends, Maureen Jones, and Maureen Brown.  When asked by her father why she
had been on the phone so long, she responded \"I heard a funny story today
and I've been telling it to the Maureens.\"";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A gleekzorp without a tornpee is like a quop without a fertsneet (sort of).";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A good memory does not equal pale ink.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A good name lost is seldom regained.  When character is gone,
all is gone, and one of the richest jewels of life is lost forever.";"J. Hawes";NA;"platitudes.dat (fortunes)";NA
"A good plan today is better than a perfect plan tomorrow.";"Patton";NA;"platitudes.dat (fortunes)";NA
"A good reputation is more valuable than money.";"Publilius Syrus";NA;"platitudes.dat (fortunes)";NA
"A good scapegoat is hard to find.
A guilty conscience is the mother of invention.";"Carolyn Wells";NA;"platitudes.dat (fortunes)";NA
"A handful of friends is worth more than a wagon of gold.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A handful of patience is worth more than a bushel of brains.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A hermit is a deserter from the army of humanity.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A homeowner's reach should exceed his grasp, or what's a weekend for?";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"	A horse breeder has his young colts bottle-fed after they're three
days old.  He heard that a foal and his mummy are soon parted.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A hundred thousand lemmings can't be wrong!";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A journey of a thousand miles begins with a cash advance.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A journey of a thousand miles must begin with a single step.";"Lao Tsu";NA;"platitudes.dat (fortunes)";NA
"A journey of a thousand miles starts under one's feet.";"Lao Tsu";NA;"platitudes.dat (fortunes)";NA
"A king's castle is his home.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A lie in time saves nine.";"Unknown (/usr/share/games/fortunes/platitudes)";NA;"platitudes.dat (fortunes)";NA
"A lie is an abomination unto the Lord and a very present help in time of
trouble.";"Adlai Stevenson";NA;"platitudes.dat (fortunes)";NA
