"quote";"author";"context";"source";"date"
"which time it will be worth absolutely nothing.";"Lazarus Long, \"Time Enough for Love\"";NA;"politics.dat (fortunes)";NA
"1st graffitiist: QUESTION AUTHORITY!

2nd graffitiist: Why?";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A \"No\" uttered from deepest conviction is better and greater than a
\"Yes\" merely uttered to please, or what is worse, to avoid trouble.";"Mahatma Gandhi";NA;"politics.dat (fortunes)";NA
"A billion here, a billion there -- pretty soon it adds up to real money.";"Sen. Everett Dirksen, on the U.S. defense budget";NA;"politics.dat (fortunes)";NA
"A billion seconds ago Harry Truman was president.
A billion minutes ago was just after the time of Christ.
A billion hours ago man had not yet walked on earth.
A billion dollars ago was late yesterday afternoon at the U.S. Treasury.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A bureaucrat's idea of cleaning up his files is to make a copy of everything
before he destroys it.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A candidate is a person who gets money from the rich and votes from the
poor to protect them from each other.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A citizen of America will cross the ocean to fight for democracy, but
won't cross the street to vote in a national election.";"Bill Vaughan";NA;"politics.dat (fortunes)";NA
"A Difficulty for Every Solution.";"Motto of the Federal Civil Service";NA;"politics.dat (fortunes)";NA
"A diplomat is a man who can convince his wife she'd look stout in a fur coat.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A diplomat is a person who can tell you to go to hell in such a way that you
actually look forward to the trip.";"Caskie Stinnett, \"Out of the Red\"";NA;"politics.dat (fortunes)";NA
"A diplomat's life consists of three things: protocol, Geritol, and alcohol.";"Adlai Stevenson";NA;"politics.dat (fortunes)";NA
"A fanatic is one who can't change his mind and won't change the subject.";"Winston Churchill";NA;"politics.dat (fortunes)";NA
"A free society is one where it is safe to be unpopular.";"Adlai Stevenson";NA;"politics.dat (fortunes)";NA
"A general leading the State Department resembles a dragon commanding ducks.";"New York Times, Jan. 20, 1981";NA;"politics.dat (fortunes)";NA
"A government that is big enough to give you all you want is big enough
to take it all away.";"Barry Goldwater";NA;"politics.dat (fortunes)";NA
"A great empire, like a great cake, is most easily diminished at the edges.";"B. Franklin";NA;"politics.dat (fortunes)";NA
"A great nation is any mob of people which produces at least one honest
man a century.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A group of politicians deciding to dump a President because his morals
are bad is like the Mafia getting together to bump off the Godfather for
not going to church on Sunday.";"Russell Baker";NA;"politics.dat (fortunes)";NA
"A lack of leadership is no substitute for inaction.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A long memory is the most subversive idea in America.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A national debt, if it is not excessive, will be to us a national blessing.";"Alexander Hamilton";NA;"politics.dat (fortunes)";NA
"A nuclear war can ruin your whole day.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A penny saved is a penny taxed.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A penny saved kills your career in government.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A people living under the perpetual menace of war and invasion is very easy to
govern.  It demands no social reforms.  It does not haggle over expenditures
on armaments and military equipment.  It pays without discussion, it ruins
itself, and that is an excellent thing for the syndicates of financiers and
manufacturers for whom patriotic terrors are an abundant source of gain.";"Anatole France";NA;"politics.dat (fortunes)";NA
"A political man can have as his aim the realization of freedom,
but he has no means to realize it other than through violence.";"Jean Paul Sartre";NA;"politics.dat (fortunes)";NA
"A prisoner of war is a man who tries to kill you and fails, and then
asks you not to kill him.";"Sir Winston Churchill, 1952";NA;"politics.dat (fortunes)";NA
"A public debt is a kind of anchor in the storm; but if the anchor be
too heavy for the vessel, she will be sunk by that very weight which
was intended for her preservation.";"Colton";NA;"politics.dat (fortunes)";NA
"A real diplomat is one who can cut his neighbor's throat without having
his neighbour notice it.";"Trygve Lie";NA;"politics.dat (fortunes)";NA
"A real patriot is the fellow who gets a parking ticket and rejoices
that the system works.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"A right is not what someone gives you; it's what no one can take from you.";"Ramsey Clark";NA;"politics.dat (fortunes)";NA
"A sect or party is an elegant incognito devised to save a man from
the vexation of thinking.";"Ralph Waldo Emerson, Journals, 1831";NA;"politics.dat (fortunes)";NA
"A statesman is a politician who's been dead 10 or 15 years.";"Harry S. Truman";NA;"politics.dat (fortunes)";NA
"A straw vote only shows which way the hot air blows.";"O'Henry";NA;"politics.dat (fortunes)";NA
"A strong conviction that something must be done is the parent of many
bad measures.";"Daniel Webster";NA;"politics.dat (fortunes)";NA
"Abraham Lincoln didn't die in vain.  He died in Washington, D.C.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"\"After I asked him what he meant, he replied that freedom consisted of
the unimpeded right to get rich, to use his ability, no matter what the
cost to others, to win advancement.\"";"Norman Thomas";NA;"politics.dat (fortunes)";NA
"Airplanes are interesting toys but of no military value.
	-- Marechal Ferdinand Foch, Professor of Strategy,
	   Ecole Superieure de Guerre";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"Alea iacta est.
	[The die is cast]";"Gaius Julius Caesar";NA;"politics.dat (fortunes)";NA
"Alexander Hamilton started the U.S. Treasury with nothing - and that was
the closest our country has ever been to being even.";"The Best of Will Rogers";NA;"politics.dat (fortunes)";NA
"All [zoos] actually offer to the public in return for the taxes spent
upon them is a form of idle and witless amusement, compared to which a
visit to a penitentiary, or even to a State legislature in session, is
informing, stimulating and ennobling.";"H. L. Mencken";NA;"politics.dat (fortunes)";NA
"All bad precedents began as justifiable measures.";"Gaius Julius Caesar, quoted in \"The Conspiracy of
		   Catiline\", by Sallust";NA;"politics.dat (fortunes)";NA
"All diplomacy is a continuation of war by other means.";"Chou En Lai";NA;"politics.dat (fortunes)";NA
"All kings is mostly rapscallions.";"Mark Twain";NA;"politics.dat (fortunes)";NA
"All other things being equal, a bald man cannot be elected President of
the United States.";"Vic Gold";NA;"politics.dat (fortunes)";NA
"All people are born alike -- except Republicans and Democrats.";"Groucho Marx";NA;"politics.dat (fortunes)";NA
"All the taxes paid over a lifetime by the average American are spent by
the government in less than a second.";"Jim Fiebig";NA;"politics.dat (fortunes)";NA
"All wars are civil wars, because all men are brothers ... Each one owes
infinitely more to the human race than to the particular country in
which he was born.";"Francois Fenelon";NA;"politics.dat (fortunes)";NA
"America is the country where you buy a lifetime supply of aspirin for one
dollar, and use it up in two weeks.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"America may be unique in being a country which has leapt from barbarism
to decadence without touching civilization.";"John O'Hara";NA;"politics.dat (fortunes)";NA
"America: born free and taxed to death.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"An ambassador is an honest man sent abroad to lie and intrigue for the
benefit of his country.";"Sir Henry Wotton, 1568-1639";NA;"politics.dat (fortunes)";NA
"An American's a person who isn't afraid to criticize the president but is
always polite to traffic cops.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"An efficient and a successful administration manifests itself equally in
small as in great matters.";"W. Churchill";NA;"politics.dat (fortunes)";NA
"An honest politician is one who when he is bought will stay bought.";"Simon Cameron

There are honest journalists like there are honest politicians.  When
bought they stay bought.";NA;"politics.dat (fortunes)";NA
"Anarchy may not be a better form of government, but it's better than no
government at all.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"\"...and the fully armed nuclear warheads, are, of course, merely a
courtesy detail.\"";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"And they shall beat their swords into plowshares, for if you hit a man
with a plowshare, he's going to know he's been hit.";"Unknown (/usr/share/games/fortunes/politics)";NA;"politics.dat (fortunes)";NA
"And yet, seasons must be taken with a grain of salt, for they too have
a sense of humor, as does history.  Corn stalks comedy, comedy stalks
tragedy, and this too is historic.  And yet, still, when corn meets
tragedy face to face, we have politics.";"Dalglish, Larsen and Sutherland, \"Root Crops and
		   Ground Cover\"";NA;"politics.dat (fortunes)";NA
"Andrea: Unhappy the land that has no heroes.
Galileo: No, unhappy the land that _____needs heroes.";"Bertolt Brecht, \"Life of Galileo\"";NA;"politics.dat (fortunes)";NA
"Another such victory over the Romans, and we are undone.";"Pyrrhus";NA;"politics.dat (fortunes)";NA
"Any excuse will serve a tyrant.";"Aesop";NA;"politics.dat (fortunes)";NA
"	\"Any news from the President on a successor?\" he asked hopefully.
	\"None,\" Anita replied.  \"She's having great difficulty finding someone
qualified who is willing to accept the post.\"
	\"Then I stay,\" said Dr. Fresh.  \"I'm not good for much, but I
can at least make a decision.\"
	\"Somewhere,\" he grumphed, \"there must be a naive, opportunistic
young welp with a masochistic streak who would like to run the most
up-and-down bureaucracy in the history of mankind.\"";"R. L. Forward, \"Flight of the Dragonfly\"";NA;"politics.dat (fortunes)";NA
"Anybody that wants the presidency so much that he'll spend two years
organising and campaigning for it is not to be trusted with the office.";"David Broder";NA;"politics.dat (fortunes)";NA
"Anyone who is capable of getting themselves made President should on no
account be allowed to do the job.";"Douglas Adams, \"The Hitchhiker's Guide to the Galaxy\"";NA;"politics.dat (fortunes)";NA
"As long as war is regarded as wicked, it will always have its fascination.
When it is looked upon as vulgar, it will cease to be popular.";"Oscar Wilde, \"Intentions\"";NA;"politics.dat (fortunes)";NA
