"quote";"author";"context";"source";"date"
"Enterprise Cloud powered by Eucalyptus has what you need:
http://www.ubuntu.com/cloud";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Did you know that you can get useful notifications displayed at the bottom
of a terminal by using the byobu package? http://launchpad.net/byobu";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"'screen' can create multiple \"windows\" which you can detach and re-attach
later.  The Byobu package makes screen even
simpler. http://launchpad.net/byobu";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"The powernap package allows you to suspend servers which are not being used,
and save energy.  https://launchpad.net/powernap";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"'etckeeper' allows you to save changes you make to /etc in a bazaar
repository.  Useful to track and revert
changes. http://tinyurl.com/etckeeper";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Your KVM powered virtual machines will do IOs up to seven times faster if
you enable virtio. http://tinyurl.com/virtio";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"The Ubuntu Server Team is an open community always looking for feedback and
help: https://launchpad.net/~ubuntu-server";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Did you know that releases of Ubuntu labeled LTS are maintained for 5 years
on servers? 'cat /etc/lsb-release' will tell you which release you are on.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Browse the command line history with ctrl-r and then type a few characters
that you know are part of the command you are looking for.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Edit the command line with cut and paste: ctrl-k for cut, and ctrl-y for
paste.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Reach the end-of-line with ctrl-e and the beginning of line with ctrl-a.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Instead of typing the user and group, if they are the same (like for
www-data)  you can just type the user followed by a colon: 'sudo chown -R
www-data: *'";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Use the \"which\" command to find if an executable is in your path, and if it
is, where you can find the file. e.g. 'which nano'";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Instead of typing exit or closing the terminal if you want to logout you can
press Ctrl+D.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
"Use 'tail -f file' to watch a log file as messages get appended, and use
'tail -100 file' to change the count of lines read from the file.";"Unknown (/usr/share/games/fortunes/ubuntu-server-tips)";NA;"ubuntu-server-tips.dat (fortunes-ubuntu-server)";NA
