"quote";"author";"context";"source";"date"
NA;"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"A dwarf is passing out somewhere in Detroit!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"A shapely CATHOLIC SCHOOLGIRL is FIDGETING inside my costume..";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"A wide-eyed, innocent UNICORN, poised delicately in a MEADOW filled
with LILACS, LOLLIPOPS & small CHILDREN at the HUSH of twilight??";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Actually, what I'd like is a little toy spaceship!!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"All I can think of is a platter of organic PRUNE CRISPS being trampled
by an army of swarthy, Italian LOUNGE SINGERS ...";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"All of a sudden, I want to THROW OVER my promising ACTING CAREER, grow
a LONG BLACK BEARD and wear a BASEBALL HAT!! ...  Although I don't know WHY!!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"All of life is a blur of Republicans and meat!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"All right, you degenerates!  I want this place evacuated in 20 seconds!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"All this time I've been VIEWING a RUSSIAN MIDGET SODOMIZE a HOUSECAT!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Alright, you!!  Imitate a WOUNDED SEAL pleading for a PARKING SPACE!!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Am I accompanied by a PARENT or GUARDIAN?";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Am I elected yet?";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Am I in GRADUATE SCHOOL yet?";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"Am I SHOPLIFTING?";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"America!!  I saw it all!!  Vomiting!  Waving!  JERRY FALWELLING into
your void tube of UHF oblivion!!  SAFEWAY of the mind ...";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"An air of FRENCH FRIES permeates my nostrils!!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"An INK-LING?  Sure -- TAKE one!!  Did you BUY any COMMUNIST UNIFORMS??";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
"An Italian is COMBING his hair in suburban DES MOINES!";"Unknown (/usr/share/games/fortunes/zippy)";NA;"zippy.dat (fortunes)";NA
